Document ID,Cleaned Text,,,,,sentiment
36,good laptop ecxept ethernet speed specif say gigabit ethernet port max mbp download speak dell support tech tri everyth get mbp luck abl get wifi speed mbp still low base mbp internet servic ,,,,,neutral
37,muy buen equipo pero el que recibí aparentement tien problema con la memoria ram pue al instalar un programa nuevo exigirl al equipo el window se tranca sale una pantalla azul de error luego del reinicio se autoresuelv pero resulta algo incómodo que te suceda frecuentement ,,,,,positive
38,like din work right also receiv refund one month ,,,,,negative
39,excel pc work perfectli fast worth money ,,,,,negative
40,order laptop decemb daughter th birthday week stop work date back forth seller send inform ship back item get full refund wast money ,,,,,neutral
41,good still set ,,,,,positive
42,’ use laptop week say ’ meet need far ,,,,,negative
43,love ,,,,,neutral
44,laptop arriv time exactli advertis plan use write research code ,,,,,neutral
45,advertis quick connect via wifi ,,,,,neutral
46,product sell use announc say new receiv product tri find long would guarante unfortun inform servic code guarante alreadi expir ,,,,,neutral
47,wish would weight less surfac mous would feel smother finger everyth els fine thank ,,,,,negative
48,happi perform ,,,,,neutral
49,usual wait awhil write review comput equip month issu perform expect ,,,,,neutral
50,purchas laptop prove everyth hope problem sinc arriv setup snap good technic advic son select come ,,,,,neutral
51,product use pacif person busi use ,,,,,neutral
52,work great right box ad microsoft offic profession fast quiet respond fast ,,,,,positive
53,meh ,,,,,neutral
54,dell product top heep ,,,,,negative
55,comput prove fast need set easi move lighten speed positive,,,,,
56,buy grow children absolut love comput happi ,,,,,neutral
57,great littl comput ,,,,,neutral
58,ad offer new machin machin deliv use warranti expir dec two day ,,,,,neutral
59,good comput good price ,,,,,positive
60,laptop amaz fast display good definit recommend student offic purpos ,,,,,positive
61,use daughter go colleg work great ,,,,,positive
62,work great far ,,,,,positive
63,like nice touchscreen make comput faster ,,,,,positive
64,person use everyth look laptop ,,,,,neutral
65,nice laptop everyth need christma gift ,,,,,positive
66,far love ,,,,,positive
67,batteri run hour start use fulli charg ,,,,,neutral
68,titl descript differ actual productless memori half hard drive ,,,,,negative
69,dell best amaz one even xp recipi amaz speed ,,,,,positive
70,realli fast startup nice screen qualiti everyth want ,,,,,positive
71,meet expect far ,,,,,negative
72,thing ’ like one screw screw complet ,,,,,negative
73,beauti fast ,,,,,positive
74,satisfi purchas ,,,,,neutral
75,good laptop high perform work fast smooth ,,,,,positive
76,happi product ,,,,,neutral
77,best laptop ,,,,,positive
78,fast perfect comput ,,,,,positive
79,great product ,,,,,positive
80,’ great ,,,,,positive
81,get gift best friend go load ram sata drive believ fast soon hit last digit password sign boom load backlit god send os super slim lightweight laptop troubl wait cach chrome noth ever get hang never wait page load touch pad odd go set whole thing never problem anymor go taskmanag turn thing run background set open set click privaci click background app choos app run background section turn toggl switch app want restrict make faster also use thing sometm hour day joy happi seller make build possibl ,,,,,neutral
82,buy mine costco thank super easi return fan louder airplan serious loud give headach might overlook spend time comput wait someth happen soooo sloooowwww year old comput kid run program load page faster piec junk brand new pretti much give dell point ,,,,,negative
83,warn avoid dell product event might need call custom support inspiron game warranti experienc major slow perform slow wifi laptop mbp download devic reciev mbp hope speak tech support purchas singl incid support advanc softwar support submit payment never contact tech support instead say would take day process eventhough prior pay servic say stay phone tech contact right away regard issu eventu solv problem spend hour refresh reboot window sinc dell tech help assum could easili get refund singl incid support advanc softwar support get ugli call support line get bounc around deptment deptart reexplain refund request time min think final reach right depart repres say need put short hold promptley hang call back take hour process refund repeat first experi depart hour call think serious punk exaserb horribl experi definiit commun breakdown support agent speak difficult understand dell tech support complet oversea possibl speak someon english languag first languag aw aw aw experi avoid buyer bewar devic need support time forewarn ,,,,,negative
84,screen qualiti good especi game movi keypad mous good feel type nois littl notic even type softli inch size good multi window work good work class note take thing make regret buy laptop nois fan make overheat anyth big laptop come overh quicker thu trigger epic fan nois distract quit environ librari classroom well batteri life go quickli big thing game stream movi cabl charger good okay goodish laptop ,,,,,neutral
85,overal laptop ok love build wifi antenna sub mediocr buy extern netgear adapt dirt slow watch video otherwis router devic fine use wifi hous also trackpad squishi trackpad feel poorli make like old car fall apart otherwis perform fine ,,,,,neutral
